epoch,train_loss,valid_loss,mae_angle,time
0,52.45162582397461,40.58101272583008,40.58101272583008,01:52
epoch,train_loss,valid_loss,mae_angle,time
0,14.546713829040527,25.86151695251465,25.86151695251465,00:06
1,12.61101245880127,10.98160457611084,10.98160457611084,00:06
2,11.415435791015625,9.642669677734375,9.642669677734375,00:06
3,10.847363471984863,8.862018585205078,8.862018585205078,00:05
4,10.585298538208008,9.764378547668457,9.764378547668457,00:06
5,10.257184982299805,11.170441627502441,11.170441627502441,00:05
6,9.887062072753906,8.710762977600098,8.710762977600098,00:06
7,9.600913047790527,11.674060821533203,11.674060821533203,00:06
8,9.615699768066406,10.039398193359375,10.039398193359375,00:06
9,9.629380226135254,12.868075370788574,12.868075370788574,00:06
10,9.710005760192871,11.314380645751953,11.314380645751953,00:06
11,9.593191146850586,10.781397819519043,10.781397819519043,00:06
12,9.594537734985352,9.257903099060059,9.257903099060059,00:06
13,9.447477340698242,10.085055351257324,10.085055351257324,00:06
14,9.257442474365234,8.679511070251465,8.679511070251465,00:06
15,9.009102821350098,9.489330291748047,9.489330291748047,00:06
16,8.824462890625,8.830742835998535,8.830742835998535,00:06
17,8.729857444763184,9.206610679626465,9.206610679626465,00:06
18,8.97795295715332,21.072715759277344,21.072715759277344,00:06
19,9.042396545410156,7.461384296417236,7.461384296417236,00:06
20,8.840611457824707,6.577373504638672,6.577373504638672,00:06
21,8.664148330688477,6.7889909744262695,6.7889909744262695,00:06
22,8.540624618530273,7.330665111541748,7.330665111541748,00:06
23,8.384679794311523,7.018182277679443,7.018182277679443,00:06
24,8.301711082458496,7.53192663192749,7.53192663192749,00:06
25,8.322586059570312,8.830720901489258,8.830720901489258,00:06
26,8.317789077758789,6.456150531768799,6.456150531768799,00:06
27,8.161967277526855,6.54536771774292,6.54536771774292,00:05
28,8.05282974243164,6.694919109344482,6.694919109344482,00:06
29,8.105623245239258,9.240798950195312,9.240798950195312,00:06
30,8.236409187316895,6.849930286407471,6.849930286407471,00:06
31,8.207005500793457,6.143426418304443,6.143426418304443,00:06
32,8.03831958770752,6.5509185791015625,6.5509185791015625,00:06
33,7.901584625244141,6.189001560211182,6.189001560211182,00:06
34,7.784224033355713,6.175678253173828,6.175678253173828,00:06
35,7.713408470153809,6.465015888214111,6.465015888214111,00:06
36,7.5818705558776855,5.632621765136719,5.632621765136719,00:06
37,7.496272563934326,5.479718208312988,5.479718208312988,00:06
38,7.413432598114014,5.016660690307617,5.016660690307617,00:06
39,7.334882736206055,4.933948993682861,4.933948993682861,00:05
40,7.206153392791748,4.687387466430664,4.687387466430664,00:06
41,7.092870235443115,4.578873634338379,4.578873634338379,00:06
42,7.0057854652404785,4.545853614807129,4.545853614807129,00:06
43,6.88657283782959,4.232632160186768,4.232632160186768,00:06
44,6.812350273132324,4.214941024780273,4.214941024780273,00:06
45,6.758116722106934,4.625423908233643,4.625423908233643,00:06
46,6.681394100189209,4.385443687438965,4.385443687438965,00:06
47,6.604685306549072,4.1905622482299805,4.1905622482299805,00:06
48,6.601785659790039,4.221100330352783,4.221100330352783,00:06
49,6.557372570037842,4.2151055335998535,4.2151055335998535,00:06
