epoch,train_loss,valid_loss,accuracy,time
0,2.280656337738037,1.5860676765441895,0.4971098303794861,00:12
epoch,train_loss,valid_loss,accuracy,time
0,1.7467634677886963,1.4247156381607056,0.5303468108177185,00:14
1,1.6128243207931519,1.3653119802474976,0.5404624342918396,00:14
2,1.4922617673873901,1.339620590209961,0.5375722646713257,00:14
3,1.3968170881271362,1.3573440313339233,0.560693621635437,00:14
4,1.294904112815857,1.2911657094955444,0.5534682273864746,00:14
5,1.2079691886901855,1.3079055547714233,0.5794797539710999,00:14
6,1.1178901195526123,1.2653238773345947,0.5447976589202881,00:14
7,1.0505216121673584,1.2043217420578003,0.5635837912559509,00:14
8,0.9754616022109985,1.258467435836792,0.5823699235916138,00:14
9,0.9079333543777466,1.2083728313446045,0.589595377445221,00:14
10,0.8210251927375793,1.2367538213729858,0.5563583970069885,00:14
11,0.7521544694900513,1.1659516096115112,0.6040462255477905,00:14
12,0.6946512460708618,1.2264602184295654,0.5924855470657349,00:14
13,0.6220080256462097,1.1979514360427856,0.589595377445221,00:14
14,0.5557178258895874,1.2168102264404297,0.5939306616783142,00:14
15,0.49832212924957275,1.244618535041809,0.5982658863067627,00:14
16,0.4586118161678314,1.261111855506897,0.5939306616783142,00:14
17,0.4261398911476135,1.2811782360076904,0.5968208312988281,00:14
18,0.38696470856666565,1.2819501161575317,0.5910404920578003,00:14
19,0.3696300983428955,1.2801945209503174,0.6054913401603699,00:14
