epoch,train_loss,valid_loss,accuracy,time
0,2.888076066970825,00:23
1,4.234762668609619,00:23
epoch,train_loss,valid_loss,accuracy,time
0,2.343491792678833,1.62998366355896,0.4956647455692291,00:26
epoch,train_loss,valid_loss,accuracy,time
0,1.831425428390503,1.5037128925323486,0.5245664715766907,00:33
1,1.6994433403015137,1.379862666130066,0.5751445293426514,00:34
2,1.6145154237747192,1.373356580734253,0.5578034520149231,00:34
3,1.5086337327957153,1.3884215354919434,0.5635837912559509,00:34
4,1.4037220478057861,1.4143555164337158,0.5838150382041931,00:34
5,1.2972807884216309,1.301085114479065,0.586705207824707,00:34
6,1.2051161527633667,1.260372281074524,0.5693641901016235,00:34
7,1.082875370979309,1.2861241102218628,0.5982658863067627,00:34
8,0.9872552752494812,1.30823814868927,0.5650289058685303,00:35
9,0.8846380114555359,1.221897840499878,0.6112716794013977,00:35
10,0.7897306680679321,1.3018728494644165,0.6040462255477905,00:35
11,0.7187271118164062,1.3468389511108398,0.6011560559272766,00:35
12,0.6593014597892761,1.3212864398956299,0.6069363951683044,00:35
13,0.5805172920227051,1.3500875234603882,0.5968208312988281,00:35
14,0.5108848810195923,1.3904274702072144,0.615606963634491,00:35
15,0.47718557715415955,1.3868508338928223,0.6112716794013977,00:35
16,0.42530083656311035,1.3907004594802856,0.6054913401603699,00:35
17,0.3720983862876892,1.4127988815307617,0.599711000919342,00:35
18,0.3688110113143921,1.410796046257019,0.6083815097808838,00:35
19,0.3525395691394806,1.4127088785171509,0.599711000919342,00:35
