epoch,train_loss,valid_loss,_rmse,time
0,1.7497462034225464,0.9386638402938843,0.9398113489151001,00:16
epoch,train_loss,valid_loss,_rmse,time
0,1.3820149898529053,0.5999178290367126,0.6003496646881104,00:22
1,1.2931863069534302,0.5010616183280945,0.5014992356300354,00:21
2,1.2094497680664062,0.47456008195877075,0.47553515434265137,00:21
3,1.1004959344863892,0.40932217240333557,0.4096512794494629,00:21
4,0.9727001786231995,0.32798174023628235,0.32844454050064087,00:21
5,0.8359818458557129,0.2967302203178406,0.29689088463783264,00:21
6,0.6927319765090942,0.24980254471302032,0.2499510943889618,00:21
7,0.5577942728996277,0.22322781383991241,0.22364601492881775,00:21
8,0.4415035843849182,0.21640647947788239,0.2167481780052185,00:21
9,0.34494391083717346,0.17920874059200287,0.1794847995042801,00:21
10,0.27917301654815674,0.17731907963752747,0.17759107053279877,00:21
11,0.23900480568408966,0.16488444805145264,0.16506920754909515,00:21
12,0.21412046253681183,0.17984996736049652,0.18007969856262207,00:21
13,0.19784145057201385,0.16238483786582947,0.16305860877037048,00:21
14,0.183006152510643,0.1808587908744812,0.18138472735881805,00:21
15,0.17304106056690216,0.1581067144870758,0.15845254063606262,00:21
16,0.1646241992712021,0.15742939710617065,0.15794886648654938,00:21
17,0.15793976187705994,0.16884258389472961,0.16961105167865753,00:21
18,0.15187256038188934,0.15660367906093597,0.15706905722618103,00:21
19,0.14363284409046173,0.15197362005710602,0.15259626507759094,00:21
20,0.13708843290805817,0.15021491050720215,0.1505623757839203,00:21
21,0.13108640909194946,0.15138089656829834,0.15199816226959229,00:21
22,0.12405692040920258,0.14540253579616547,0.14580771327018738,00:21
23,0.11844707280397415,0.14749521017074585,0.1480434685945511,00:21
24,0.11563694477081299,0.14716961979866028,0.14771048724651337,00:21
25,0.11152198910713196,0.1445436030626297,0.1450565755367279,00:21
26,0.10986566543579102,0.14641200006008148,0.14692004024982452,00:21
27,0.10589449107646942,0.1446613371372223,0.1452740579843521,00:21
28,0.10548064857721329,0.14457303285598755,0.14515474438667297,00:21
29,0.10426884889602661,0.14427372813224792,0.1448976993560791,00:21
