epoch,train_loss,valid_loss,_rmse,time
0,1.7703267335891724,0.8761115074157715,0.8766864538192749,00:15
epoch,train_loss,valid_loss,_rmse,time
0,1.379250407218933,0.5979021787643433,0.5980063676834106,00:20
1,1.2977120876312256,0.5363158583641052,0.5373204946517944,00:20
2,1.2088737487792969,0.4556203782558441,0.4560711681842804,00:20
3,1.100163459777832,0.4212972819805145,0.42196714878082275,00:20
4,0.9822403788566589,0.3592669665813446,0.36012110114097595,00:20
5,0.846832811832428,0.2899038791656494,0.29012593626976013,00:21
6,0.7119647860527039,0.2870005667209625,0.28780004382133484,00:21
7,0.574994683265686,0.2304539978504181,0.230685755610466,00:21
8,0.4597306251525879,0.20849236845970154,0.20870137214660645,00:21
9,0.36631637811660767,0.1783876121044159,0.17862392961978912,00:21
10,0.3094687759876251,0.170943483710289,0.17110900580883026,00:21
11,0.26783207058906555,0.17876406013965607,0.17898881435394287,00:21
12,0.24301843345165253,0.16772250831127167,0.16792193055152893,00:21
13,0.22714275121688843,0.17423640191555023,0.1748334765434265,00:21
14,0.21700309216976166,0.16254642605781555,0.16268177330493927,00:21
15,0.20089715719223022,0.16866429150104523,0.16906465590000153,00:21
16,0.19317413866519928,0.14768055081367493,0.1479872465133667,00:21
17,0.18427905440330505,0.15349727869033813,0.15368050336837769,00:21
18,0.18190309405326843,0.15775220096111298,0.1583583652973175,00:21
19,0.17636072635650635,0.1472586989402771,0.14754793047904968,00:21
20,0.17127133905887604,0.13851574063301086,0.13887479901313782,00:21
21,0.1680261343717575,0.14829006791114807,0.14869742095470428,00:21
22,0.1629696935415268,0.13634639978408813,0.13665840029716492,00:21
23,0.15876415371894836,0.1426330804824829,0.14291426539421082,00:21
24,0.1526794284582138,0.13600072264671326,0.13648392260074615,00:21
25,0.14906874299049377,0.1379605382680893,0.13826397061347961,00:21
26,0.14732715487480164,0.1349649280309677,0.13542057573795319,00:21
27,0.14528588950634003,0.1334007978439331,0.13389402627944946,00:21
28,0.14479506015777588,0.1334146112203598,0.13397528231143951,00:21
29,0.14342738687992096,0.13310794532299042,0.1335856318473816,00:21
